N=200,graph=ba,method=lptva,r=0.1,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000)
rank,precision
115,0.0
76,0.0
135,0.0
30,0.0
26,0.0
360,0.0
121,0.0
861,0.0
144,0.0
45,0.0
60,0.0
28,0.0
88,0.0
42,0.0
20,0.0
187,0.0
294,0.0
188,0.0
283,0.0
17,0.0
53,0.0
53,0.0
631,0.0
50,0.0
511,0.0
7,0.0
106,0.0
154,0.0
55,0.0
18,0.0
10,0.0
514,0.0
80,0.0
79,0.0
19,0.0
146,0.0
79,0.0
127,0.0
268,0.0
164,0.0
187,0.0
117,0.0
73,0.0
43,0.0
226,0.0
27,0.0
510,0.0
22,0.0
122,0.0
178,0.0
245,0.0
33,0.0
165,0.0
209,0.0
89,0.0
15,0.0
51,0.0
467,0.0
22,0.0
111,0.0
217,0.0
53,0.0
48,0.0
80,0.0
302,0.0
489,0.0
324,0.0
61,0.0
125,0.0
144,0.0
52,0.0
359,0.0
797,0.0
31,0.0
110,0.0
25,0.0
245,0.0
13,0.0
7,0.0
251,0.0
311,0.0
8,0.0
35,0.0
90,0.0
90,0.0
32,0.0
375,0.0
55,0.0
152,0.0
193,0.0
68,0.0
88,0.0
148,0.0
22,0.0
14,0.0
62,0.0
129,0.0
25,0.0
478,0.0
252,0.0
68,0.0
22,0.0
110,0.0
404,0.0
6,0.0
79,0.0
93,0.0
215,0.0
39,0.0
516,0.0
95,0.0
226,0.0
50,0.0
146,0.0
133,0.0
425,0.0
27,0.0
39,0.0
138,0.0
35,0.0
290,0.0
15,0.0
40,0.0
99,0.0
122,0.0
148,0.0
72,0.0
35,0.0
51,0.0
30,0.0
112,0.0
19,0.0
63,0.0
19,0.0
18,0.0
51,0.0
23,0.0
30,0.0
534,0.0
63,0.0
111,0.0
84,0.0
94,0.0
36,0.0
24,0.0
184,0.0
310,0.0
21,0.0
6,0.0
357,0.0
438,0.0
50,0.0
18,0.0
182,0.0
79,0.0
353,0.0
123,0.0
20,0.0
31,0.0
83,0.0
47,0.0
88,0.0
95,0.0
499,0.0
217,0.0
118,0.0
35,0.0
34,0.0
106,0.0
50,0.0
324,0.0
832,0.0
9,0.0
52,0.0
131,0.0
555,0.0
344,0.0
293,0.0
291,0.0
42,0.0
152,0.0
194,0.0
62,0.0
35,0.0
26,0.0
15,0.0
39,0.0
83,0.0
808,0.0
588,0.0
66,0.0
348,0.0
22,0.0
195,0.0
224,0.0
45,0.0
259,0.0
203,0.0
139,0.0
14,0.0
