N=1000,graph=ba,method=pearson,r=0.05,beta=0.2
rank,precision
16,0.0
170,0.0
317,0.0
310,0.0
799,0.0
20,0.0
16,0.0
17,0.0
341,0.0
395,0.0
140,0.0
337,0.0
411,0.0
79,0.0
46,0.0
3,0.0
906,0.0
327,0.0
1,1.0
28,0.0
640,0.0
485,0.0
561,0.0
1,1.0
19,0.0
13,0.0
21,0.0
19,0.0
2,0.0
82,0.0
132,0.0
110,0.0
10,0.0
12,0.0
417,0.0
63,0.0
621,0.0
222,0.0
20,0.0
731,0.0
92,0.0
4,0.0
895,0.0
293,0.0
4,0.0
454,0.0
31,0.0
126,0.0
7,0.0
410,0.0
89,0.0
118,0.0
289,0.0
25,0.0
756,0.0
973,0.0
39,0.0
719,0.0
878,0.0
163,0.0
352,0.0
621,0.0
38,0.0
779,0.0
108,0.0
21,0.0
310,0.0
184,0.0
17,0.0
78,0.0
101,0.0
170,0.0
555,0.0
30,0.0
516,0.0
388,0.0
213,0.0
90,0.0
316,0.0
221,0.0
29,0.0
163,0.0
925,0.0
620,0.0
745,0.0
94,0.0
218,0.0
220,0.0
3,0.0
365,0.0
121,0.0
1,1.0
126,0.0
79,0.0
2,0.0
90,0.0
64,0.0
2,0.0
49,0.0
1,1.0
141,0.0
727,0.0
117,0.0
48,0.0
21,0.0
242,0.0
187,0.0
10,0.0
10,0.0
308,0.0
80,0.0
290,0.0
61,0.0
4,0.0
872,0.0
357,0.0
197,0.0
302,0.0
199,0.0
12,0.0
612,0.0
2,0.0
897,0.0
73,0.0
204,0.0
305,0.0
462,0.0
260,0.0
15,0.0
142,0.0
10,0.0
80,0.0
259,0.0
711,0.0
448,0.0
45,0.0
97,0.0
155,0.0
62,0.0
68,0.0
330,0.0
3,0.0
101,0.0
24,0.0
4,0.0
24,0.0
616,0.0
2,0.0
16,0.0
92,0.0
22,0.0
34,0.0
3,0.0
30,0.0
141,0.0
465,0.0
41,0.0
3,0.0
359,0.0
76,0.0
45,0.0
75,0.0
40,0.0
173,0.0
25,0.0
100,0.0
542,0.0
348,0.0
350,0.0
57,0.0
657,0.0
65,0.0
70,0.0
411,0.0
91,0.0
772,0.0
6,0.0
55,0.0
737,0.0
29,0.0
112,0.0
20,0.0
284,0.0
359,0.0
5,0.0
5,0.0
182,0.0
805,0.0
865,0.0
1,1.0
149,0.0
27,0.0
327,0.0
627,0.0
2,0.0
33,0.0
528,0.0
382,0.0
1,1.0
162,0.0
958,0.0
188,0.0
193,0.0
11,0.0
22,0.0
51,0.0
430,0.0
214,0.0
2,0.0
24,0.0
149,0.0
807,0.0
339,0.0
356,0.0
56,0.0
1,1.0
31,0.0
815,0.0
116,0.0
384,0.0
9,0.0
3,0.0
119,0.0
2,0.0
59,0.0
220,0.0
347,0.0
14,0.0
474,0.0
2,0.0
728,0.0
181,0.0
354,0.0
35,0.0
44,0.0
77,0.0
356,0.0
17,0.0
597,0.0
657,0.0
5,0.0
68,0.0
3,0.0
66,0.0
500,0.0
58,0.0
34,0.0
5,0.0
41,0.0
25,0.0
219,0.0
294,0.0
11,0.0
31,0.0
345,0.0
6,0.0
86,0.0
61,0.0
14,0.0
49,0.0
1,1.0
77,0.0
533,0.0
58,0.0
96,0.0
906,0.0
2,0.0
398,0.0
45,0.0
104,0.0
4,0.0
134,0.0
3,0.0
22,0.0
205,0.0
133,0.0
928,0.0
221,0.0
33,0.0
19,0.0
1,1.0
281,0.0
9,0.0
1,1.0
29,0.0
93,0.0
1,1.0
2,0.0
967,0.0
145,0.0
483,0.0
224,0.0
613,0.0
472,0.0
12,0.0
339,0.0
979,0.0
8,0.0
1,1.0
63,0.0
794,0.0
10,0.0
6,0.0
13,0.0
3,0.0
160,0.0
80,0.0
12,0.0
11,0.0
312,0.0
787,0.0
2,0.0
21,0.0
3,0.0
101,0.0
56,0.0
438,0.0
15,0.0
45,0.0
1,1.0
187,0.0
66,0.0
1,1.0
87,0.0
323,0.0
576,0.0
8,0.0
38,0.0
15,0.0
8,0.0
285,0.0
104,0.0
622,0.0
177,0.0
69,0.0
567,0.0
5,0.0
545,0.0
102,0.0
848,0.0
525,0.0
315,0.0
158,0.0
10,0.0
397,0.0
522,0.0
20,0.0
68,0.0
42,0.0
61,0.0
261,0.0
2,0.0
243,0.0
298,0.0
665,0.0
22,0.0
52,0.0
31,0.0
150,0.0
4,0.0
325,0.0
2,0.0
290,0.0
56,0.0
483,0.0
762,0.0
19,0.0
94,0.0
1,1.0
35,0.0
371,0.0
48,0.0
725,0.0
691,0.0
999,0.0
7,0.0
3,0.0
246,0.0
121,0.0
205,0.0
5,0.0
106,0.0
19,0.0
407,0.0
131,0.0
61,0.0
426,0.0
118,0.0
315,0.0
583,0.0
526,0.0
134,0.0
544,0.0
829,0.0
11,0.0
274,0.0
5,0.0
168,0.0
21,0.0
23,0.0
149,0.0
404,0.0
2,0.0
97,0.0
400,0.0
297,0.0
732,0.0
6,0.0
4,0.0
1,1.0
27,0.0
7,0.0
256,0.0
344,0.0
108,0.0
384,0.0
365,0.0
283,0.0
19,0.0
188,0.0
196,0.0
24,0.0
36,0.0
17,0.0
256,0.0
44,0.0
808,0.0
2,0.0
28,0.0
165,0.0
557,0.0
345,0.0
86,0.0
158,0.0
22,0.0
19,0.0
109,0.0
888,0.0
654,0.0
427,0.0
52,0.0
56,0.0
67,0.0
2,0.0
909,0.0
913,0.0
150,0.0
156,0.0
590,0.0
356,0.0
400,0.0
690,0.0
151,0.0
61,0.0
2,0.0
2,0.0
26,0.0
44,0.0
1,1.0
7,0.0
6,0.0
1,1.0
772,0.0
84,0.0
61,0.0
32,0.0
78,0.0
374,0.0
1,1.0
47,0.0
327,0.0
21,0.0
460,0.0
16,0.0
164,0.0
2,0.0
10,0.0
905,0.0
470,0.0
55,0.0
375,0.0
48,0.0
462,0.0
403,0.0
210,0.0
8,0.0
326,0.0
790,0.0
121,0.0
215,0.0
3,0.0
20,0.0
128,0.0
8,0.0
271,0.0
11,0.0
121,0.0
