N=5000,graph=cal,method=gmla,r=0.05,beta=0.8
rank,precision
1,1.0
1,1.0
1020,0.0
1,1.0
13,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
10,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
5,0.0
1020,0.0
2,0.0
1,1.0
1,1.0
9,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
2,0.0
1,1.0
1020,0.0
2,0.0
1020,0.0
1020,0.0
4,0.0
1020,0.0
2,0.0
2,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
28,0.0
1,1.0
3,0.0
12,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
2,0.0
7,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1020,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
49,0.0
1,1.0
1020,0.0
4,0.0
1,1.0
1,1.0
1,1.0
11,0.0
5,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
3,0.0
1020,0.0
1020,0.0
1,0.3333333333333333
1020,0.0
1020,0.0
24,0.0
1,1.0
1,1.0
11,0.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
2,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,0.5
3,0.0
1020,0.0
1,1.0
2,0.0
2,0.0
1,1.0
1020,0.0
2,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
20,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
2,0.0
2,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
2,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1020,0.0
1,1.0
2,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
3,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
4,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
52,0.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
6,0.0
2,0.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
2,0.0
1020,0.0
2,0.0
17,0.0
5,0.0
1,1.0
1,0.5
1,1.0
1,1.0
1020,0.0
1020,0.0
10,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
4,0.0
1,0.5
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1020,0.0
1020,0.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
3,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
3,0.0
1020,0.0
1,1.0
1020,0.0
2,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
80,0.0
1,1.0
9,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
4,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
3,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
4,0.0
7,0.0
1020,0.0
1020,0.0
1020,0.0
3,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
10,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
2,0.0
1020,0.0
1,1.0
2,0.0
10,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
4,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
6,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
8,0.0
2,0.0
22,0.0
1,1.0
3,0.0
3,0.0
1020,0.0
1,0.5
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
4,0.0
2,0.0
1020,0.0
1,1.0
1,1.0
14,0.0
30,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
1020,0.0
6,0.0
4,0.0
4,0.0
1,1.0
2,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
4,0.0
1020,0.0
1020,0.0
4,0.0
1020,0.0
7,0.0
5,0.0
2,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
73,0.0
1,1.0
1,1.0
1,0.5
1020,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
4,0.0
1,1.0
1,1.0
3,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
2,0.0
1,1.0
4,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
2,0.0
3,0.0
10,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
2,0.0
2,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
81,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
3,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
2,0.5
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
2,0.5
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
4,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
2,0.0
2,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
2,0.0
1020,0.0
1,1.0
1,1.0
15,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1020,0.0
8,0.0
2,0.5
21,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
1020,0.0
2,0.0
1,1.0
2,0.0
11,0.0
2,0.5
43,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
2,0.0
1020,0.0
1,1.0
3,0.0
2,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
2,0.0
1020,0.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
2,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1020,0.0
2,0.0
1,1.0
1020,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
1,0.5
2,0.0
1,1.0
1,1.0
1,1.0
1020,0.0
6,0.0
2,0.0
1,1.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1,1.0
2,0.0
1020,0.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
4,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
4,0.0
1,1.0
1020,0.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1020,0.0
1020,0.0
1020,0.0
1,1.0
1,1.0
1,1.0
3,0.0
