N=1000,graph=cal,method=pearson,r=0.1,beta=0.2
rank,precision
12,0.0
1,1.0
407,0.0
292,0.0
201,0.0
4,0.0
81,0.0
720,0.0
16,0.0
4,0.0
16,0.0
4,0.0
324,0.0
74,0.0
71,0.0
255,0.0
31,0.0
444,0.0
31,0.0
122,0.0
32,0.0
281,0.0
87,0.0
118,0.0
65,0.0
11,0.0
252,0.0
982,0.0
621,0.0
975,0.0
380,0.0
179,0.0
303,0.0
579,0.0
625,0.0
5,0.0
20,0.0
202,0.0
39,0.0
30,0.0
26,0.0
742,0.0
239,0.0
671,0.0
2,0.0
95,0.0
173,0.0
381,0.0
75,0.0
326,0.0
136,0.0
5,0.0
24,0.0
245,0.0
655,0.0
351,0.0
59,0.0
61,0.0
15,0.0
3,0.0
51,0.0
85,0.0
4,0.0
831,0.0
136,0.0
230,0.0
156,0.0
609,0.0
2,0.0
252,0.0
8,0.0
288,0.0
213,0.0
2,0.0
1,1.0
5,0.0
227,0.0
16,0.0
4,0.0
294,0.0
312,0.0
11,0.0
91,0.0
66,0.0
2,0.0
221,0.0
117,0.0
2,0.0
13,0.0
247,0.0
693,0.0
181,0.0
45,0.0
219,0.0
11,0.0
32,0.0
76,0.0
69,0.0
25,0.0
418,0.0
28,0.0
268,0.0
185,0.0
311,0.0
136,0.0
214,0.0
31,0.0
92,0.0
2,0.0
468,0.0
6,0.0
10,0.0
1,1.0
6,0.0
795,0.0
256,0.0
227,0.0
17,0.0
811,0.0
11,0.0
1,1.0
5,0.0
71,0.0
27,0.0
1,1.0
37,0.0
26,0.0
1,1.0
27,0.0
288,0.0
4,0.0
340,0.0
851,0.0
401,0.0
107,0.0
46,0.0
314,0.0
257,0.0
609,0.0
167,0.0
81,0.0
1,1.0
13,0.0
163,0.0
16,0.0
304,0.0
365,0.0
538,0.0
1,1.0
87,0.0
534,0.0
36,0.0
1,1.0
9,0.0
116,0.0
224,0.0
12,0.0
345,0.0
72,0.0
548,0.0
187,0.0
565,0.0
741,0.0
75,0.0
10,0.0
371,0.0
3,0.0
1,1.0
200,0.0
1,1.0
21,0.0
156,0.0
443,0.0
335,0.0
27,0.0
175,0.0
467,0.0
439,0.0
27,0.0
340,0.0
425,0.0
159,0.0
51,0.0
42,0.0
1,1.0
25,0.0
286,0.0
1,1.0
16,0.0
39,0.0
61,0.0
30,0.0
153,0.0
57,0.0
34,0.0
6,0.0
11,0.0
138,0.0
394,0.0
577,0.0
249,0.0
202,0.0
90,0.0
14,0.0
13,0.0
294,0.0
226,0.0
77,0.0
5,0.0
637,0.0
321,0.0
57,0.0
33,0.0
16,0.0
5,0.0
100,0.0
72,0.0
3,0.0
7,0.0
1,1.0
81,0.0
47,0.0
37,0.0
682,0.0
69,0.0
93,0.0
5,0.0
50,0.0
196,0.0
76,0.0
18,0.0
135,0.0
37,0.0
216,0.0
1,1.0
2,0.0
91,0.0
317,0.0
81,0.0
244,0.0
5,0.0
1,1.0
895,0.0
208,0.0
17,0.0
2,0.0
347,0.0
262,0.0
209,0.0
263,0.0
701,0.0
151,0.0
302,0.0
429,0.0
19,0.0
572,0.0
2,0.0
10,0.0
6,0.0
52,0.0
416,0.0
14,0.0
42,0.0
316,0.0
7,0.0
394,0.0
59,0.0
1,1.0
15,0.0
96,0.0
293,0.0
3,0.0
596,0.0
125,0.0
40,0.0
1,1.0
19,0.0
482,0.0
345,0.0
439,0.0
21,0.0
2,0.0
32,0.0
166,0.0
56,0.0
2,0.0
357,0.0
60,0.0
45,0.0
283,0.0
854,0.0
830,0.0
30,0.0
193,0.0
90,0.0
103,0.0
212,0.0
122,0.0
685,0.0
130,0.0
15,0.0
3,0.0
21,0.0
744,0.0
141,0.0
666,0.0
23,0.0
271,0.0
1,1.0
222,0.0
212,0.0
7,0.0
327,0.0
9,0.0
251,0.0
440,0.0
84,0.0
16,0.0
12,0.0
94,0.0
6,0.0
71,0.0
216,0.0
458,0.0
162,0.0
35,0.0
341,0.0
129,0.0
20,0.0
28,0.0
356,0.0
926,0.0
488,0.0
319,0.0
159,0.0
2,0.0
515,0.0
33,0.0
3,0.0
4,0.0
102,0.0
259,0.0
514,0.0
25,0.0
137,0.0
307,0.0
64,0.0
5,0.0
65,0.0
9,0.0
468,0.0
269,0.0
44,0.0
700,0.0
23,0.0
12,0.0
105,0.0
122,0.0
616,0.0
32,0.0
684,0.0
116,0.0
304,0.0
76,0.0
5,0.0
122,0.0
6,0.0
127,0.0
44,0.0
184,0.0
496,0.0
502,0.0
120,0.0
45,0.0
122,0.0
360,0.0
783,0.0
472,0.0
162,0.0
228,0.0
17,0.0
8,0.0
62,0.0
196,0.0
137,0.0
11,0.0
1,1.0
49,0.0
1,1.0
10,0.0
957,0.0
235,0.0
825,0.0
129,0.0
2,0.0
491,0.0
178,0.0
79,0.0
371,0.0
208,0.0
43,0.0
47,0.0
845,0.0
268,0.0
14,0.0
126,0.0
183,0.0
371,0.0
1,1.0
23,0.0
131,0.0
3,0.0
79,0.0
39,0.0
120,0.0
274,0.0
6,0.0
4,0.0
21,0.0
129,0.0
10,0.0
3,0.0
260,0.0
380,0.0
12,0.0
115,0.0
24,0.0
283,0.0
2,0.0
1,1.0
1,1.0
275,0.0
3,0.0
264,0.0
56,0.0
394,0.0
460,0.0
8,0.0
131,0.0
17,0.0
62,0.0
1,1.0
674,0.0
171,0.0
525,0.0
7,0.0
217,0.0
427,0.0
82,0.0
523,0.0
4,0.0
364,0.0
44,0.0
4,0.0
17,0.0
776,0.0
363,0.0
467,0.0
21,0.0
42,0.0
75,0.0
39,0.0
49,0.0
160,0.0
401,0.0
93,0.0
329,0.0
130,0.0
63,0.0
9,0.0
1013,0.0
354,0.0
7,0.0
15,0.0
2,0.0
827,0.0
17,0.0
194,0.0
82,0.0
959,0.0
81,0.0
30,0.0
122,0.0
49,0.0
75,0.0
1,1.0
5,0.0
1,1.0
4,0.0
10,0.0
533,0.0
4,0.0
67,0.0
8,0.0
9,0.0
1,1.0
135,0.0
5,0.0
81,0.0
126,0.0
144,0.0
15,0.0
120,0.0
224,0.0
616,0.0
93,0.0
35,0.0
754,0.0
362,0.0
156,0.0
305,0.0
333,0.0
102,0.0
64,0.0
488,0.0
2,0.0
54,0.0
6,0.0
573,0.0
119,0.0
1,1.0
5,0.0
104,0.0
88,0.0
235,0.0
903,0.0
4,0.0
695,0.0
75,0.0
362,0.0
10,0.0
222,0.0
112,0.0
330,0.0
412,0.0
575,0.0
43,0.0
3,0.0
14,0.0
267,0.0
331,0.0
69,0.0
67,0.0
25,0.0
29,0.0
37,0.0
706,0.0
753,0.0
4,0.0
36,0.0
35,0.0
131,0.0
10,0.0
29,0.0
467,0.0
405,0.0
420,0.0
75,0.0
28,0.0
106,0.0
72,0.0
5,0.0
351,0.0
27,0.0
52,0.0
86,0.0
176,0.0
414,0.0
1,1.0
8,0.0
216,0.0
75,0.0
34,0.0
239,0.0
54,0.0
48,0.0
424,0.0
274,0.0
471,0.0
73,0.0
63,0.0
151,0.0
3,0.0
47,0.0
62,0.0
1,1.0
36,0.0
214,0.0
20,0.0
14,0.0
250,0.0
120,0.0
459,0.0
10,0.0
126,0.0
112,0.0
21,0.0
30,0.0
149,0.0
206,0.0
472,0.0
3,0.0
137,0.0
40,0.0
81,0.0
627,0.0
427,0.0
3,0.0
305,0.0
172,0.0
48,0.0
5,0.0
886,0.0
51,0.0
22,0.0
1,1.0
60,0.0
1,1.0
765,0.0
171,0.0
7,0.0
393,0.0
73,0.0
156,0.0
31,0.0
483,0.0
300,0.0
129,0.0
381,0.0
25,0.0
710,0.0
27,0.0
1,1.0
14,0.0
50,0.0
645,0.0
38,0.0
153,0.0
728,0.0
3,0.0
6,0.0
813,0.0
38,0.0
60,0.0
155,0.0
46,0.0
320,0.0
57,0.0
594,0.0
28,0.0
99,0.0
4,0.0
95,0.0
1004,0.0
34,0.0
293,0.0
40,0.0
512,0.0
136,0.0
3,0.0
309,0.0
724,0.0
236,0.0
488,0.0
1,1.0
272,0.0
171,0.0
188,0.0
151,0.0
1,1.0
420,0.0
15,0.0
109,0.0
7,0.0
74,0.0
54,0.0
370,0.0
81,0.0
2,0.0
100,0.0
3,0.0
269,0.0
1,1.0
472,0.0
33,0.0
128,0.0
570,0.0
1,1.0
780,0.0
211,0.0
460,0.0
85,0.0
416,0.0
192,0.0
260,0.0
1,1.0
10,0.0
657,0.0
694,0.0
6,0.0
434,0.0
7,0.0
76,0.0
43,0.0
3,0.0
26,0.0
764,0.0
212,0.0
126,0.0
10,0.0
2,0.0
2,0.0
520,0.0
42,0.0
141,0.0
392,0.0
563,0.0
362,0.0
484,0.0
102,0.0
20,0.0
381,0.0
622,0.0
133,0.0
367,0.0
305,0.0
413,0.0
86,0.0
64,0.0
777,0.0
37,0.0
74,0.0
359,0.0
298,0.0
75,0.0
15,0.0
33,0.0
7,0.0
275,0.0
296,0.0
344,0.0
335,0.0
4,0.0
232,0.0
21,0.0
246,0.0
35,0.0
234,0.0
8,0.0
718,0.0
1,1.0
496,0.0
272,0.0
12,0.0
268,0.0
19,0.0
48,0.0
12,0.0
57,0.0
5,0.0
102,0.0
6,0.0
439,0.0
48,0.0
25,0.0
94,0.0
256,0.0
822,0.0
27,0.0
8,0.0
3,0.0
264,0.0
3,0.0
86,0.0
325,0.0
129,0.0
23,0.0
2,0.0
183,0.0
32,0.0
11,0.0
175,0.0
306,0.0
174,0.0
305,0.0
38,0.0
55,0.0
616,0.0
162,0.0
80,0.0
66,0.0
18,0.0
40,0.0
38,0.0
145,0.0
5,0.0
715,0.0
319,0.0
212,0.0
592,0.0
396,0.0
108,0.0
601,0.0
174,0.0
378,0.0
497,0.0
22,0.0
150,0.0
376,0.0
30,0.0
531,0.0
504,0.0
300,0.0
48,0.0
48,0.0
146,0.0
61,0.0
357,0.0
14,0.0
1,1.0
233,0.0
31,0.0
116,0.0
6,0.0
244,0.0
144,0.0
19,0.0
15,0.0
102,0.0
271,0.0
361,0.0
309,0.0
287,0.0
2,0.0
920,0.0
168,0.0
631,0.0
179,0.0
407,0.0
4,0.0
326,0.0
19,0.0
589,0.0
19,0.0
66,0.0
77,0.0
137,0.0
112,0.0
4,0.0
793,0.0
230,0.0
856,0.0
111,0.0
333,0.0
375,0.0
740,0.0
920,0.0
553,0.0
2,0.0
652,0.0
444,0.0
104,0.0
10,0.0
121,0.0
23,0.0
584,0.0
218,0.0
483,0.0
13,0.0
67,0.0
667,0.0
66,0.0
124,0.0
810,0.0
338,0.0
25,0.0
667,0.0
81,0.0
1,1.0
161,0.0
1,1.0
184,0.0
200,0.0
51,0.0
242,0.0
57,0.0
39,0.0
18,0.0
13,0.0
10,0.0
278,0.0
186,0.0
22,0.0
7,0.0
114,0.0
36,0.0
700,0.0
202,0.0
145,0.0
489,0.0
93,0.0
13,0.0
9,0.0
389,0.0
427,0.0
122,0.0
6,0.0
2,0.0
99,0.0
2,0.0
522,0.0
184,0.0
35,0.0
2,0.0
348,0.0
554,0.0
945,0.0
129,0.0
24,0.0
6,0.0
650,0.0
1,1.0
1,1.0
21,0.0
36,0.0
86,0.0
8,0.0
305,0.0
297,0.0
274,0.0
124,0.0
152,0.0
850,0.0
506,0.0
217,0.0
8,0.0
74,0.0
156,0.0
409,0.0
6,0.0
161,0.0
438,0.0
453,0.0
342,0.0
20,0.0
18,0.0
907,0.0
343,0.0
464,0.0
201,0.0
3,0.0
497,0.0
4,0.0
146,0.0
37,0.0
641,0.0
5,0.0
81,0.0
104,0.0
1,1.0
25,0.0
18,0.0
752,0.0
514,0.0
201,0.0
196,0.0
37,0.0
157,0.0
21,0.0
29,0.0
87,0.0
39,0.0
41,0.0
1,1.0
10,0.0
259,0.0
253,0.0
896,0.0
2,0.0
3,0.0
16,0.0
201,0.0
284,0.0
399,0.0
4,0.0
119,0.0
45,0.0
186,0.0
73,0.0
39,0.0
223,0.0
15,0.0
26,0.0
364,0.0
352,0.0
375,0.0
286,0.0
141,0.0
143,0.0
17,0.0
