N=128,graph=email,method=pearson,r=0.15,beta=0.2
rank,precision
9,0.0
142,0.0
2,0.0
26,0.0
2,0.0
12,0.0
15,0.0
126,0.0
437,0.0
89,0.0
62,0.0
28,0.0
377,0.0
7,0.0
3,0.0
2,0.0
53,0.0
1,1.0
347,0.0
28,0.0
4,0.0
10,0.0
19,0.0
6,0.0
5,0.0
45,0.0
17,0.0
196,0.0
15,0.0
14,0.0
1,1.0
4,0.0
12,0.0
208,0.0
54,0.0
137,0.0
1,1.0
74,0.0
18,0.0
19,0.0
65,0.0
1,1.0
248,0.0
47,0.0
70,0.0
106,0.0
9,0.0
5,0.0
149,0.0
7,0.0
1,0.5
199,0.0
256,0.0
2,0.0
16,0.0
90,0.0
273,0.0
3,0.0
14,0.0
455,0.0
72,0.0
207,0.0
15,0.0
1,1.0
6,0.0
537,0.0
3,0.0
40,0.0
55,0.0
25,0.0
14,0.0
12,0.0
31,0.0
163,0.0
9,0.0
297,0.0
31,0.0
27,0.0
15,0.0
21,0.0
32,0.0
66,0.0
132,0.0
51,0.0
12,0.0
5,0.0
174,0.0
14,0.0
2,0.0
1,0.3333333333333333
58,0.0
19,0.0
251,0.0
211,0.0
2,0.0
34,0.0
4,0.0
5,0.0
1,1.0
17,0.0
5,0.0
192,0.0
24,0.0
20,0.0
4,0.0
3,0.0
179,0.0
586,0.0
11,0.0
156,0.0
201,0.0
82,0.0
5,0.0
104,0.0
5,0.0
69,0.0
82,0.0
14,0.0
247,0.0
625,0.0
39,0.0
60,0.0
3,0.0
6,0.0
186,0.0
2,0.5
156,0.0
4,0.0
