N=100,graph=fb,method=lptva,r=0.05,beta=0.8
rank,precision
1,1.0
3,0.0
1,1.0
3,0.0
1,1.0
1,1.0
17,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
2,0.0
4,0.0
2,0.0
1,1.0
1,0.5
4,0.0
3,0.0
3,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
87,0.0
1,1.0
1,1.0
76,0.0
1,1.0
1,1.0
3,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.0
1,1.0
38,0.0
1,1.0
2,0.5
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
71,0.0
1,1.0
6,0.0
1,1.0
1,1.0
1,1.0
1,1.0
7,0.0
1,1.0
2,0.0
1,1.0
11,0.0
2,0.0
8,0.0
1,1.0
1,1.0
3,0.0
14,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
1,1.0
1,1.0
48,0.0
1,1.0
2,0.0
1,1.0
