N=1000,modify=hide,graph=email,dj=0.2,method=gmla,r=0.3,beta=0.95
rank,precision
5,0.0
1089,0.0
2,0.5
17,0.0
1099,0.0
27,0.0
1091,0.0
7,0.0
50,0.0
14,0.0
1,1.0
10,0.0
15,0.0
16,0.0
1,1.0
1103,0.0
1,1.0
5,0.0
4,0.0
10,0.0
16,0.0
1,1.0
4,0.0
13,0.0
1086,0.0
5,0.0
2,0.0
7,0.0
7,0.0
10,0.0
1,1.0
23,0.0
35,0.0
1,1.0
1,1.0
5,0.0
22,0.0
3,0.0
14,0.0
21,0.0
9,0.0
27,0.0
1092,0.0
23,0.0
15,0.0
12,0.0
8,0.0
15,0.0
8,0.0
1,1.0
1097,0.0
1,1.0
3,0.0
6,0.0
1097,0.0
25,0.0
1099,0.0
6,0.0
8,0.0
21,0.0
1093,0.0
11,0.0
56,0.0
7,0.0
3,0.0
9,0.0
6,0.0
1095,0.0
65,0.0
21,0.0
1102,0.0
1,1.0
1,1.0
3,0.0
3,0.0
15,0.0
2,0.0
7,0.0
7,0.0
17,0.0
1,1.0
6,0.0
5,0.0
3,0.0
22,0.0
1097,0.0
28,0.0
13,0.0
9,0.0
1,1.0
1101,0.0
73,0.0
1103,0.0
1091,0.0
1100,0.0
6,0.0
25,0.0
17,0.0
7,0.0
1,1.0
15,0.0
5,0.0
1101,0.0
5,0.0
16,0.0
1,1.0
1091,0.0
60,0.0
4,0.0
1,1.0
6,0.0
3,0.0
6,0.0
3,0.0
1100,0.0
1,0.5
24,0.0
1088,0.0
6,0.0
5,0.0
10,0.0
1108,0.0
1,1.0
16,0.0
1,1.0
7,0.0
2,0.0
2,0.0
1,1.0
6,0.0
49,0.0
52,0.0
1,1.0
2,0.0
4,0.0
4,0.0
1,1.0
3,0.0
16,0.0
17,0.0
9,0.0
30,0.0
34,0.0
40,0.0
2,0.0
1,1.0
1,1.0
1098,0.0
9,0.0
2,0.0
2,0.0
7,0.0
10,0.0
1,1.0
1090,0.0
31,0.0
1093,0.0
6,0.0
2,0.5
1096,0.0
1095,0.0
7,0.0
8,0.0
8,0.0
1,1.0
2,0.0
1,1.0
1,1.0
24,0.0
1,1.0
1107,0.0
9,0.0
1095,0.0
4,0.0
10,0.0
1086,0.0
19,0.0
1,1.0
14,0.0
2,0.0
6,0.0
6,0.0
6,0.0
10,0.0
7,0.0
1,1.0
2,0.0
1098,0.0
1095,0.0
3,0.0
3,0.0
32,0.0
15,0.0
1,1.0
15,0.0
10,0.0
9,0.0
18,0.0
6,0.0
4,0.0
1092,0.0
1098,0.0
36,0.0
22,0.0
28,0.0
2,0.0
23,0.0
1,1.0
1,1.0
1086,0.0
1092,0.0
1095,0.0
1,1.0
3,0.0
13,0.0
1094,0.0
2,0.0
5,0.0
1081,0.0
4,0.0
8,0.0
2,0.0
5,0.0
52,0.0
1095,0.0
15,0.0
24,0.0
3,0.0
2,0.0
10,0.0
6,0.0
25,0.0
4,0.0
3,0.0
66,0.0
46,0.0
27,0.0
1,1.0
1,1.0
5,0.0
3,0.0
1,1.0
3,0.0
1094,0.0
1,1.0
1088,0.0
1,1.0
2,0.0
3,0.0
11,0.0
1,1.0
24,0.0
3,0.0
7,0.0
8,0.0
1095,0.0
1,1.0
25,0.0
4,0.0
6,0.0
4,0.0
1104,0.0
1,1.0
16,0.0
8,0.0
11,0.0
1098,0.0
1095,0.0
1,1.0
1105,0.0
20,0.0
4,0.0
1,1.0
1094,0.0
21,0.0
1096,0.0
1093,0.0
3,0.0
9,0.0
18,0.0
4,0.0
43,0.0
1106,0.0
6,0.0
6,0.0
1,1.0
1,1.0
13,0.0
1,1.0
29,0.0
20,0.0
30,0.0
17,0.0
5,0.0
1,1.0
6,0.0
1,1.0
1090,0.0
19,0.0
5,0.0
20,0.0
1097,0.0
1,1.0
1,1.0
13,0.0
1086,0.0
15,0.0
3,0.0
15,0.0
10,0.0
18,0.0
16,0.0
18,0.0
13,0.0
9,0.0
6,0.0
1,1.0
1097,0.0
4,0.0
3,0.0
10,0.0
2,0.0
1,1.0
4,0.0
7,0.0
10,0.0
18,0.0
5,0.0
4,0.0
14,0.0
1,1.0
4,0.0
7,0.0
21,0.0
5,0.0
10,0.0
29,0.0
3,0.0
9,0.0
12,0.0
18,0.0
4,0.0
11,0.0
1101,0.0
3,0.0
10,0.0
1,1.0
34,0.0
26,0.0
5,0.0
1,1.0
2,0.0
1,1.0
1,1.0
19,0.0
49,0.0
17,0.0
1,1.0
1096,0.0
16,0.0
28,0.0
1093,0.0
1,1.0
4,0.0
3,0.0
48,0.0
1,1.0
1,1.0
1096,0.0
11,0.0
41,0.0
2,0.0
25,0.0
24,0.0
4,0.0
17,0.0
5,0.0
1098,0.0
1,1.0
8,0.0
19,0.0
10,0.0
7,0.0
6,0.0
29,0.0
15,0.0
2,0.0
23,0.0
11,0.0
24,0.0
1,1.0
12,0.0
26,0.0
20,0.0
6,0.0
11,0.0
1099,0.0
17,0.0
1,1.0
7,0.0
40,0.0
1089,0.0
1,0.5
1,1.0
43,0.0
17,0.0
16,0.0
1,1.0
8,0.0
6,0.0
11,0.0
12,0.0
5,0.0
3,0.0
18,0.0
1098,0.0
1107,0.0
9,0.0
1098,0.0
1,1.0
36,0.0
1096,0.0
2,0.0
1093,0.0
1,1.0
1,1.0
14,0.0
1,0.5
1,1.0
54,0.0
1098,0.0
1,1.0
6,0.0
34,0.0
3,0.0
2,0.0
6,0.0
21,0.0
2,0.5
54,0.0
13,0.0
2,0.5
1096,0.0
19,0.0
1088,0.0
2,0.0
2,0.3333333333333333
13,0.0
10,0.0
27,0.0
1095,0.0
10,0.0
1,1.0
3,0.0
15,0.0
3,0.0
1,1.0
15,0.0
54,0.0
2,0.5
24,0.0
12,0.0
50,0.0
16,0.0
7,0.0
9,0.0
1,1.0
33,0.0
7,0.0
