N=1000,modify=hide,graph=email,dj=0.6,method=gmla,r=0.1,beta=0.95
rank,precision,dist
11,0.0,3
29,0.0,3
949,0.0,3
938,0.0,3
4,0.0,1
961,0.0,3
939,0.0,-1
13,0.0,4
941,0.0,5
10,0.0,2
930,0.0,4
925,0.0,3
946,0.0,4
951,0.0,4
938,0.0,6
5,0.0,1
952,0.0,3
13,0.0,3
13,0.0,2
945,0.0,4
6,0.0,3
943,0.0,6
942,0.0,3
15,0.0,3
961,0.0,5
939,0.0,4
957,0.0,2
19,0.0,4
931,0.0,6
4,0.0,1
942,0.0,6
944,0.0,4
5,0.0,1
935,0.0,2
946,0.0,6
5,0.0,1
936,0.0,7
940,0.0,5
950,0.0,-1
931,0.0,5
1,1.0,0
10,0.0,4
951,0.0,6
14,0.0,3
5,0.0,1
5,0.0,2
2,0.0,1
6,0.0,2
941,0.0,5
954,0.0,-1
938,0.0,6
17,0.0,3
954,0.0,3
925,0.0,4
948,0.0,4
11,0.0,2
19,0.0,4
949,0.0,3
961,0.0,2
973,0.0,4
922,0.0,-1
953,0.0,5
942,0.0,4
29,0.0,3
938,0.0,6
947,0.0,4
940,0.0,4
931,0.0,5
2,0.5,1
961,0.0,-1
18,0.0,4
8,0.0,2
958,0.0,5
31,0.0,3
936,0.0,4
946,0.0,-1
6,0.0,1
967,0.0,2
16,0.0,2
955,0.0,-1
953,0.0,4
926,0.0,4
941,0.0,3
928,0.0,4
936,0.0,-1
956,0.0,4
46,0.0,3
5,0.0,2
948,0.0,4
932,0.0,6
949,0.0,5
8,0.0,2
918,0.0,3
950,0.0,5
14,0.0,3
11,0.0,1
5,0.0,1
917,0.0,5
937,0.0,4
10,0.0,1
940,0.0,5
960,0.0,4
9,0.0,4
956,0.0,4
925,0.0,-1
6,0.0,3
11,0.0,2
30,0.0,3
941,0.0,3
19,0.0,3
936,0.0,6
23,0.0,3
13,0.0,3
956,0.0,3
940,0.0,4
950,0.0,4
35,0.0,4
942,0.0,4
937,0.0,-1
943,0.0,5
962,0.0,6
952,0.0,5
938,0.0,4
943,0.0,4
946,0.0,5
1,1.0,0
958,0.0,5
945,0.0,2
32,0.0,4
6,0.0,2
946,0.0,5
6,0.0,3
942,0.0,4
943,0.0,5
1,1.0,0
1,0.5,0
948,0.0,4
948,0.0,4
951,0.0,3
945,0.0,-1
944,0.0,3
931,0.0,3
1,1.0,0
948,0.0,6
32,0.0,4
943,0.0,7
961,0.0,3
949,0.0,4
936,0.0,3
938,0.0,2
937,0.0,3
945,0.0,3
927,0.0,-1
957,0.0,3
1,1.0,0
956,0.0,2
941,0.0,6
1,1.0,0
20,0.0,3
6,0.0,1
951,0.0,4
3,0.0,1
955,0.0,3
945,0.0,-1
13,0.0,2
8,0.0,2
939,0.0,4
954,0.0,4
950,0.0,3
9,0.0,2
15,0.0,1
940,0.0,6
930,0.0,4
942,0.0,4
23,0.0,4
944,0.0,5
17,0.0,4
4,0.0,1
942,0.0,4
939,0.0,6
1,0.5,0
959,0.0,5
945,0.0,4
958,0.0,5
2,0.5,1
939,0.0,4
946,0.0,3
5,0.0,1
947,0.0,4
947,0.0,-1
952,0.0,5
937,0.0,3
2,0.0,1
953,0.0,4
926,0.0,3
30,0.0,4
931,0.0,2
8,0.0,2
946,0.0,3
18,0.0,4
949,0.0,3
14,0.0,3
937,0.0,3
950,0.0,5
948,0.0,3
10,0.0,4
1,0.2,0
927,0.0,4
20,0.0,2
22,0.0,3
951,0.0,3
946,0.0,3
946,0.0,5
9,0.0,2
950,0.0,-1
936,0.0,3
