N=1000,modify=hide,graph=email,dj=0.6,method=pearson,r=0.1,beta=0.95
rank,precision,dist
34,0.0,5
102,0.0,4
24,0.0,2
1,0.3333333333333333,0
6,0.0,2
4,0.0,2
6,0.0,4
3,0.0,1
1,1.0,0
4,0.0,2
4,0.0,1
945,0.0,-1
8,0.0,2
5,0.0,3
205,0.0,2
45,0.0,4
89,0.0,4
2,0.0,3
14,0.0,1
8,0.0,2
10,0.0,3
1,1.0,0
83,0.0,5
3,0.0,2
1,1.0,0
378,0.0,6
4,0.0,2
948,0.0,-1
107,0.0,4
10,0.0,3
2,0.0,1
115,0.0,6
1,1.0,0
10,0.0,3
889,0.0,5
850,0.0,4
21,0.0,2
12,0.0,2
724,0.0,6
150,0.0,3
146,0.0,4
2,0.3333333333333333,1
42,0.0,1
28,0.0,1
451,0.0,6
83,0.0,4
952,0.0,-1
8,0.0,2
1,1.0,0
1,1.0,0
4,0.0,1
1,1.0,0
1,1.0,0
14,0.0,2
536,0.0,5
15,0.0,2
25,0.0,3
20,0.0,5
25,0.0,3
6,0.0,3
4,0.0,1
954,0.0,-1
385,0.0,4
28,0.0,6
15,0.0,2
498,0.0,6
2,0.3333333333333333,1
34,0.0,4
8,0.0,2
63,0.0,4
21,0.0,2
128,0.0,3
6,0.0,3
1,1.0,0
36,0.0,3
2,0.0,1
1,1.0,0
57,0.0,4
62,0.0,2
26,0.0,3
194,0.0,7
77,0.0,3
261,0.0,7
19,0.0,4
12,0.0,1
1,0.5,0
4,0.0,1
3,0.0,2
2,0.0,3
5,0.0,3
39,0.0,5
115,0.0,3
146,0.0,3
27,0.0,3
121,0.0,3
358,0.0,5
13,0.0,3
11,0.0,3
760,0.0,6
945,0.0,-1
29,0.0,3
13,0.0,3
18,0.0,5
4,0.0,1
49,0.0,2
1,1.0,0
1,1.0,0
52,0.0,4
3,0.0,1
1,0.5,0
2,0.0,2
1,1.0,0
10,0.0,2
943,0.0,-1
1,1.0,0
37,0.0,3
1,1.0,0
32,0.0,2
27,0.0,2
47,0.0,4
4,0.0,1
10,0.0,3
42,0.0,2
943,0.0,-1
704,0.0,6
71,0.0,3
1,1.0,0
105,0.0,3
1,0.25,0
5,0.0,1
1,1.0,0
4,0.0,1
952,0.0,-1
121,0.0,5
51,0.0,5
78,0.0,4
11,0.0,4
26,0.0,4
1,1.0,0
1,1.0,0
603,0.0,4
4,0.0,3
423,0.0,5
149,0.0,2
197,0.0,4
103,0.0,5
29,0.0,4
1,1.0,0
1,1.0,0
407,0.0,5
26,0.0,4
1,1.0,0
4,0.0,2
1,0.5,0
687,0.0,6
68,0.0,4
1,1.0,0
937,0.0,-1
133,0.0,4
23,0.0,2
246,0.0,5
30,0.0,1
57,0.0,4
3,0.0,1
5,0.0,2
936,0.0,-1
1,1.0,0
15,0.0,2
669,0.0,4
164,0.0,4
567,0.0,6
945,0.0,-1
19,0.0,2
5,0.0,2
284,0.0,4
2,0.0,1
42,0.0,4
153,0.0,4
69,0.0,6
143,0.0,3
16,0.0,1
6,0.0,2
29,0.0,3
167,0.0,3
948,0.0,-1
51,0.0,4
3,0.0,2
1,1.0,0
9,0.0,3
2,0.0,1
939,0.0,-1
22,0.0,3
340,0.0,2
37,0.0,4
6,0.0,2
26,0.0,3
28,0.0,3
172,0.0,5
16,0.0,2
21,0.0,2
4,0.0,2
1,1.0,0
1,1.0,0
121,0.0,3
20,0.0,1
1,0.5,0
1,1.0,0
2,0.0,3
2,0.3333333333333333,1
1,1.0,0
350,0.0,4
81,0.0,4
1,1.0,0
691,0.0,6
1,1.0,0
121,0.0,7
65,0.0,5
963,0.0,-1
6,0.0,2
21,0.0,3
18,0.0,3
5,0.0,1
7,0.0,3
1,1.0,0
2,0.5,1
80,0.0,5
27,0.0,2
499,0.0,3
1,1.0,0
1,1.0,0
939,0.0,-1
14,0.0,3
3,0.0,1
14,0.0,2
498,0.0,3
1,1.0,0
12,0.0,2
4,0.0,1
17,0.0,5
2,0.0,1
134,0.0,7
900,0.0,6
7,0.0,1
74,0.0,2
33,0.0,2
11,0.0,6
6,0.0,2
739,0.0,4
117,0.0,3
6,0.0,2
22,0.0,1
1,1.0,0
8,0.0,2
5,0.0,2
77,0.0,2
4,0.0,2
1,0.5,0
56,0.0,4
1,1.0,0
1,1.0,0
55,0.0,3
22,0.0,4
106,0.0,4
15,0.0,6
6,0.0,1
11,0.0,3
505,0.0,6
36,0.0,4
117,0.0,4
7,0.0,2
5,0.0,4
33,0.0,3
2,0.0,1
1,1.0,0
563,0.0,5
941,0.0,-1
4,0.0,2
689,0.0,5
1,1.0,0
9,0.0,3
1,1.0,0
4,0.0,1
935,0.0,-1
2,0.0,1
931,0.0,-1
38,0.0,5
6,0.0,4
4,0.0,1
5,0.0,2
6,0.0,3
58,0.0,4
293,0.0,6
2,0.5,1
43,0.0,4
11,0.0,2
285,0.0,4
240,0.0,6
334,0.0,4
1,1.0,0
99,0.0,3
43,0.0,3
12,0.0,2
2,0.0,1
178,0.0,3
36,0.0,2
14,0.0,2
19,0.0,6
7,0.0,1
6,0.0,1
9,0.0,3
75,0.0,4
1,1.0,0
10,0.0,1
2,0.0,3
1,1.0,0
8,0.0,1
5,0.0,3
11,0.0,3
185,0.0,5
5,0.0,6
342,0.0,6
7,0.0,1
6,0.0,3
72,0.0,3
759,0.0,4
78,0.0,3
572,0.0,6
502,0.0,5
8,0.0,3
14,0.0,2
3,0.0,3
1,1.0,0
290,0.0,4
927,0.0,-1
550,0.0,5
4,0.0,4
9,0.0,4
6,0.0,1
10,0.0,2
94,0.0,3
2,0.0,1
8,0.0,2
14,0.0,3
7,0.0,2
737,0.0,5
31,0.0,3
20,0.0,4
14,0.0,4
61,0.0,2
45,0.0,4
15,0.0,2
24,0.0,2
3,0.0,1
12,0.0,4
3,0.0,1
1,0.25,0
3,0.0,1
9,0.0,2
71,0.0,3
36,0.0,3
129,0.0,3
478,0.0,5
42,0.0,2
14,0.0,3
73,0.0,3
948,0.0,-1
93,0.0,5
5,0.0,2
45,0.0,2
6,0.0,4
7,0.0,2
489,0.0,5
953,0.0,-1
1,1.0,0
1,1.0,0
1,0.3333333333333333,0
3,0.0,2
8,0.0,2
3,0.0,2
367,0.0,4
45,0.0,3
686,0.0,5
99,0.0,3
220,0.0,7
10,0.0,1
1,1.0,0
8,0.0,3
44,0.0,2
5,0.0,2
1,1.0,0
952,0.0,-1
21,0.0,3
3,0.0,3
1,1.0,0
76,0.0,4
2,0.5,1
11,0.0,3
10,0.0,1
9,0.0,2
3,0.0,2
891,0.0,5
4,0.0,4
2,0.0,1
5,0.0,1
1,1.0,0
1,1.0,0
40,0.0,4
3,0.0,3
50,0.0,3
15,0.0,2
1,1.0,0
25,0.0,3
3,0.0,4
22,0.0,3
116,0.0,3
2,0.25,1
1,1.0,0
1,0.25,0
4,0.0,3
5,0.0,2
9,0.0,3
50,0.0,2
67,0.0,3
284,0.0,4
4,0.0,1
959,0.0,-1
4,0.0,1
11,0.0,2
40,0.0,1
16,0.0,3
2,0.0,1
4,0.0,4
1,0.5,0
951,0.0,-1
950,0.0,-1
8,0.0,3
156,0.0,6
22,0.0,3
2,0.0,5
220,0.0,4
5,0.0,1
2,0.0,1
29,0.0,3
1,1.0,0
2,0.0,2
3,0.0,1
65,0.0,6
2,0.0,1
204,0.0,5
4,0.0,2
2,0.0,1
524,0.0,4
20,0.0,1
950,0.0,-1
5,0.0,3
934,0.0,5
2,0.0,1
167,0.0,7
3,0.0,3
946,0.0,-1
2,0.0,1
1,0.3333333333333333,0
2,0.0,1
4,0.0,4
1,1.0,0
28,0.0,2
14,0.0,2
1,1.0,0
1,1.0,0
2,0.0,1
10,0.0,1
853,0.0,6
4,0.0,4
20,0.0,4
35,0.0,2
141,0.0,3
19,0.0,1
3,0.0,1
326,0.0,3
9,0.0,3
3,0.0,3
61,0.0,3
709,0.0,5
15,0.0,2
3,0.0,4
90,0.0,4
2,0.0,1
21,0.0,2
955,0.0,-1
285,0.0,5
11,0.0,3
24,0.0,2
841,0.0,5
1,1.0,0
3,0.0,2
1,1.0,0
2,0.5,1
53,0.0,5
2,0.5,1
17,0.0,3
68,0.0,3
3,0.0,2
24,0.0,1
10,0.0,3
2,0.0,1
465,0.0,5
1,1.0,0
663,0.0,6
1,1.0,0
99,0.0,3
102,0.0,4
11,0.0,4
3,0.0,3
369,0.0,6
220,0.0,2
2,0.0,1
18,0.0,2
1,1.0,0
21,0.0,1
1,1.0,0
423,0.0,5
21,0.0,3
257,0.0,5
6,0.0,2
1,1.0,0
158,0.0,4
12,0.0,3
3,0.0,1
279,0.0,5
20,0.0,2
25,0.0,2
4,0.0,1
2,0.0,2
33,0.0,2
808,0.0,6
932,0.0,-1
12,0.0,2
9,0.0,2
3,0.0,4
2,0.0,2
3,0.0,2
1,1.0,0
9,0.0,8
202,0.0,2
7,0.0,2
466,0.0,4
3,0.0,1
20,0.0,3
8,0.0,3
2,0.0,2
932,0.0,-1
10,0.0,3
2,0.0,2
24,0.0,5
50,0.0,4
30,0.0,3
78,0.0,3
850,0.0,6
3,0.0,1
1,1.0,0
933,0.0,-1
9,0.0,3
18,0.0,2
2,0.0,2
1,1.0,0
50,0.0,5
939,0.0,-1
1,1.0,0
6,0.0,2
36,0.0,2
646,0.0,7
57,0.0,3
47,0.0,4
149,0.0,3
4,0.0,3
5,0.0,3
