N=100,modify=hide,graph=email,dj=0.8,method=pearson,r=0.3,beta=0.95
rank,precision
275,0.0
977,0.0
989,0.0
567,0.0
225,0.0
629,0.0
470,0.0
259,0.0
9,0.0
838,0.0
366,0.0
263,0.0
588,0.0
370,0.0
794,0.0
993,0.0
128,0.0
400,0.0
490,0.0
511,0.0
313,0.0
292,0.0
490,0.0
309,0.0
351,0.0
844,0.0
725,0.0
30,0.0
896,0.0
11,0.0
990,0.0
320,0.0
977,0.0
549,0.0
823,0.0
119,0.0
363,0.0
844,0.0
133,0.0
129,0.0
637,0.0
637,0.0
447,0.0
985,0.0
264,0.0
575,0.0
373,0.0
236,0.0
81,0.0
265,0.0
150,0.0
777,0.0
1004,0.0
115,0.0
916,0.0
981,0.0
341,0.0
1001,0.0
855,0.0
479,0.0
990,0.0
535,0.0
721,0.0
627,0.0
906,0.0
963,0.0
46,0.0
364,0.0
363,0.0
982,0.0
846,0.0
600,0.0
563,0.0
497,0.0
841,0.0
862,0.0
139,0.0
309,0.0
922,0.0
854,0.0
804,0.0
188,0.0
513,0.0
769,0.0
57,0.0
998,0.0
352,0.0
277,0.0
938,0.0
676,0.0
824,0.0
769,0.0
327,0.0
556,0.0
959,0.0
138,0.0
476,0.0
298,0.0
351,0.0
502,0.0
