N=100,graph=fb,method=gmla,r=0.3,beta=0.95,modify_type=hide,dj=0.5,reconstruct_type=ra
k,prec,std_err
0,0.07,0.02564323999762428
10,0.07,0.02564323999762428
20,0.07,0.02564323999762428
30,0.06,0.0238683256575942
40,0.07,0.02564323999762428
50,0.07,0.02564323999762428
60,0.08,0.027265992434429075
70,0.065,0.024261829354695487
80,0.07,0.02564323999762428
90,0.075,0.02599047999758855
100,0.07,0.02564323999762428
110,0.07,0.02564323999762428
120,0.07,0.02564323999762428
130,0.06,0.0238683256575942
140,0.075,0.02599047999758855
150,0.07,0.02564323999762428
160,0.06,0.0238683256575942
170,0.07,0.02564323999762428
180,0.07,0.02564323999762428
190,0.07,0.02564323999762428
200,0.06,0.0238683256575942
210,0.075,0.02599047999758855
220,0.07,0.02564323999762428
230,0.08,0.027265992434429075
240,0.07,0.02564323999762428
250,0.07,0.02564323999762428
260,0.075,0.02599047999758855
270,0.07,0.02564323999762428
280,0.07,0.02564323999762428
290,0.07,0.02564323999762428
300,0.065,0.024261829354695487
310,0.07,0.02564323999762428
320,0.07,0.02564323999762428
330,0.065,0.024261829354695487
340,0.07,0.02564323999762428
350,0.07,0.02564323999762428
360,0.08,0.027265992434429075
370,0.07,0.02564323999762428
380,0.07,0.02564323999762428
390,0.07,0.02564323999762428
400,0.07,0.02564323999762428
